Hostname,IP
INVESXIBOS01-MGMT.LAB.IBM,10.135.53.72
INVESXIBOS02-MGMT.LAB.IBM,10.135.53.72
INVESXIBOS03-MGMT.LAB.IBM,10.135.53.74
INVESXIBOS04-MGMT.LAB.IBM,10.135.53.75
INVESXIBOS05-MGMT.LAB.IBM,10.135.53.76
INVESXIBOS06-MGMT.LAB.IBM,10.135.53.77
INVESXIBOS07-MGMT.LAB.IBM,10.135.53.78
INVESXIBOS08-MGMT.LAB.IBM,10.135.53.79
INVESXIBOS09-MGMT.LAB.IBM,10.135.53.80
INVESXIBOS10-MGMT.LAB.IBM,10.135.53.81
INVESXIBOS11-MGMT.LAB.IBM,10.135.53.82
INVESXIBOS12-MGMT.LAB.IBM,10.135.53.83
INVESXIBOS13-MGMT.LAB.IBM,10.135.53.84
INVESXIBOS14-MGMT.LAB.IBM,10.135.53.85
INVESXIBOS15-MGMT.LAB.IBM,10.135.53.86
INVESXIBOS16-MGMT.LAB.IBM,10.135.53.87
INVESXIBOS17-MGMT.LAB.IBM,10.135.53.88
INVESXIBOS18-MGMT.LAB.IBM,10.135.53.89
INVESXIBOS19-MGMT.LAB.IBM,10.135.53.90
INVESXIBOS20-MGMT.LAB.IBM,10.135.53.91
INVESXIBOS21-MGMT.LAB.IBM,10.135.53.92
INVESXIBOS22-MGMT.LAB.IBM,10.135.53.93
INVESXIBOS23-MGMT.LAB.IBM,10.135.53.94
INVESXIBOS24-MGMT.LAB.IBM,10.135.53.95
INVESXIBOS25-MGMT.LAB.IBM,10.135.53.96
INVESXIBOS26-MGMT.LAB.IBM,10.135.53.97
INVESXIBOS27-MGMT.LAB.IBM,10.135.53.98
INVESXIBOS28-MGMT.LAB.IBM,10.135.53.99
